"Logan Thomas (QB, ARI)",PHI,#3,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,500 ",0
"Case Keenum (QB, STL)",KC,#10,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Sean Renfree (QB, ATL)",DET,#1,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Landry Jones (QB, PIT)",IND,#9,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Ryan Nassib (QB, NYG)",BYE,,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Matt Barkley (QB, PHI)",ARI,#8,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Kellen Moore (QB, DET)",ATL,#31,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Chandler Harnish (QB, MIN)",TB,#29,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Tom Savage (QB, HOU)",TEN,#22,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Robert Griffin III (QB, WSH)",DAL,#11,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$6,500 ",0
"Scott Tolzien (QB, GB)",NO,#32,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,000 ",0
"Colin Kaepernick (QB, SF)",BYE,,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Blaine Gabbert (QB, SF)",BYE,,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Joe Webb (QB, CAR)",SEA,#16,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Mike Kafka (QB, TB)",MIN,#12,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Eli Manning (QB, NYG)",BYE,,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,$0 ,0
"Matt Schaub (QB, OAK)",CLE,#28,324,56,0.00/0.00,0,0,0,0,0,0,0-0,0,0,"$5,500 ",0
